"userID","difficulty","max_speed","boredom","frustration"
"11062025223807","Exponencial","11.3906","1","3"
"16052025133223","Exponencial","7.59375","3","2"
"16052025144307","Lineal","2","3","1"
"16052025170309","Exponencial","2.25","2","1"
"16052025173621","Lineal","2","1","1"
"16052025230356","Lineal","5","1","2"
"17052025085759","Exponencial","3.375","1","4"
"17052025105407","Exponencial","5.0625","1","2"
"17052025121347","Exponencial","11.3906","1","2"
"17052025214049","Lineal","2","2","2"
"18052025003020","Lineal","4","5","1"
"18052025101033","Lineal","4","5","2"
"18052025112128","Exponencial","2.25","4","2"
"18052025122259","Exponencial","2.25","2","2"
"18052025214713","Lineal","2","2","1"
"18052025233120","Lineal","2","4","1"
"19052025151245","Exponencial","2.25","4","3"
"19052025154449","Exponencial","7.59375","2","3"
"19052025165032","Lineal","2","3","1"
"19052025173137","Exponencial","5.0625","4","2"
"19052025193741","Lineal","8","5","1"
"19052025205047","Lineal","3","3","2"
"19052025213210","Exponencial","5.0625","5","1"
"19052025221021","Lineal","3","5","4"
"19052025222018","Exponencial","5.0625","2","2"
"20052025211747","Exponencial","2.25","4","1"
"20052025225449","Exponencial","3.375","4","1"
"22052025194203","Exponencial","2.25","4","4"
"22052025200217","Exponencial","17.0859","1","2"
"22052025212928","Exponencial","11.3906","2","2"
"22052025232631","Lineal","5","4","4"
"23052025083555","Exponencial","2.25","4","2"
"23052025120242","Lineal","2","4","3"
"23052025122629","Lineal","2","2","1"
"23052025141930","Lineal","2","5","3"
"23052025161759","Exponencial","2.25","2","3"
"23052025175157","Exponencial","11.3906","4","3"
"23052025191751","Exponencial","11.3906","2","2"
"23052025213012","Exponencial","2.25","4","4"
"23052025220159","Lineal","2","1","4"
"23052025233132","Lineal","2","2","4"
"24052025102123","Exponencial","2.25","4","3"
"24052025122041","Lineal","4","2","1"
"24052025175320","Exponencial","5.0625","2","3"
"25052025120744","Exponencial","2.25","3","2"
"25052025132617","Exponencial","3.375","2","2"
"25052025213433","Lineal","4","1","1"
"26052025151631","Lineal","8","3","1"
"27052025142840","Lineal","3","3","4"
"30052025181056","Lineal","7","1","1"
